neutrality,perspective,values
positive,first,0
positive,first,0
positive,first,0
positive,first,1
positive,first,0
positive,first,0
positive,first,0
positive,first,0
positive,first,0
positive,first,0
positive,first,0
positive,first,1
positive,first,0
positive,first,0
positive,first,0
positive,first,0
positive,first,0
positive,first,0
positive,first,0
positive,first,1
neutral,first,0
neutral,first,1
neutral,first,0
neutral,first,1
neutral,first,0
neutral,first,0
neutral,first,0
neutral,first,0
neutral,first,0
neutral,first,0
neutral,first,0
neutral,first,1
neutral,first,0
neutral,first,0
neutral,first,0
neutral,first,0
neutral,first,0
neutral,first,0
neutral,first,0
neutral,first,1
negative,first,0
negative,first,0
negative,first,0
negative,first,1
negative,first,0
negative,first,0
negative,first,0
negative,first,0
negative,first,0
negative,first,0
negative,first,0
negative,first,1
negative,first,0
negative,first,0
negative,first,0
negative,first,0
negative,first,0
negative,first,0
negative,first,0
negative,first,1
positive,third,0
positive,third,1
positive,third,0
positive,third,1
positive,third,0
positive,third,0
positive,third,0
positive,third,0
positive,third,0
positive,third,0
positive,third,0
positive,third,1
positive,third,0
positive,third,0
positive,third,0
positive,third,0
positive,third,0
positive,third,0
positive,third,0
positive,third,1
neutral,third,0
neutral,third,1
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,1
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,0
neutral,third,1
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,1
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,0
negative,third,1
