positive_first_person,neutral_first_person,negative_first_person,positive_third_person,neutral_third_person,negative_third_person
6,7,3,7,6,3
4,4,3,4,4,3
8,8,3,8,8,2
4,4,3,4,4,4
5,7,3,8,7,3
4,5,3,4,5,3
6,8,4,8,8,3
8,7,3,8,8,2
5,4,4,7,6,3
9,9,2,10,9,9
8,8,8,9,8,2
4,5,4,5,5,4
4,7,3,8,8,3
9,9,9,9,9,8
7,7,4,7,6,5
8,8,2,8,8,2
5,7,4,8,8,3
8,8,8,8,8,8
7,8,3,8,8,3
3,4,3,3,3,2
3,3,3,3,6,3
9,8,9,9,9,2
8,9,2,9,9,2
4,4,3,7,7,3
5,5,4,6,5,3
4,6,4,6,6,3
4,4,4,5,5,5
8,8,8,9,8,8
8,8,8,8,8,3
3,4,3,4,4,3
4,4,3,4,4,3
8,8,9,8,8,3
8,8,2,9,9,2
5,7,3,7,7,4
4,5,3,7,5,3
4,4,3,4,5,3
9,8,9,9,9,9
5,6,3,8,6,3
5,5,4,5,5,4
4,5,3,4,4,3
4,4,3,4,4,3
4,4,3,4,3,3
9,9,9,10,9,9
6,7,4,7,8,4
4,6,3,7,7,3
4,6,3,6,6,3
7,8,3,8,8,3
7,8,8,9,8,2
3,4,3,4,3,3
8,8,2,8,9,2
6,6,4,7,7,4
2,2,2,2,2,2
8,8,3,8,8,2
9,9,9,10,9,9
8,8,3,9,8,2
5,5,4,5,5,4
7,7,3,8,8,3
8,8,2,8,8,2
7,7,3,8,8,3
7,7,3,8,8,3
8,8,2,8,8,2
8,8,2,9,8,2
3,3,2,3,3,3
5,5,3,4,5,3
9,9,9,9,9,2
6,7,3,8,8,3
9,8,9,9,9,9
4,5,4,5,6,4
7,8,3,9,8,2
4,5,3,8,8,3
7,8,3,8,8,3
6,6,3,8,7,4
9,9,1,10,9,1
6,7,3,8,7,3
9,9,9,9,9,9
9,9,1,10,10,1
7,7,3,8,8,3
6,7,6,8,8,7
9,9,9,9,9,2
9,9,9,9,9,9
8,8,8,9,9,2
6,7,3,8,8,3
5,6,4,5,5,4
5,6,4,8,8,4
5,6,4,7,6,3
8,8,8,9,8,8
3,4,3,4,4,3
8,8,8,8,8,8
4,6,4,7,6,3
4,6,3,7,7,3
8,8,8,9,9,9
3,4,3,3,4,3
7,8,2,8,7,2
3,4,3,3,4,3
7,8,8,8,8,8
4,5,3,4,4,3
4,4,3,6,6,3
3,3,3,3,3,2
8,8,3,8,8,8
